from_id,to_id,from_point_x,from_point_y,to_point_x,to_point_y,counter,direction
0,1,0,0,500,0,1035,0
0,81,0,0,0,-200,1121,1
0,82,0,0,-200,0,1477,2
0,9,0,0,0,500,1720,3
1,2,500,0,1000,0,856,0
1,83,500,0,500,-200,727,1
1,0,500,0,0,0,1087,2
1,10,500,0,500,500,1712,3
2,3,1000,0,1500,0,1104,0
2,84,1000,0,1000,-200,1715,1
2,1,1000,0,500,0,921,2
2,11,1000,0,1000,500,800,3
3,4,1500,0,2000,0,1727,0
3,85,1500,0,1500,-200,2031,1
3,2,1500,0,1000,0,990,2
3,12,1500,0,1500,500,1611,3
4,5,2000,0,2500,0,885,0
4,86,2000,0,2000,-200,2172,1
4,3,2000,0,1500,0,1438,2
4,13,2000,0,2000,500,1222,3
5,6,2500,0,3000,0,639,0
5,87,2500,0,2500,-200,1451,1
5,4,2500,0,2000,0,1461,2
5,14,2500,0,2500,500,2044,3
6,7,3000,0,3500,0,1636,0
6,88,3000,0,3000,-200,960,1
6,5,3000,0,2500,0,1480,2
6,15,3000,0,3000,500,1432,3
7,8,3500,0,4000,0,1504,0
7,89,3500,0,3500,-200,1866,1
7,6,3500,0,3000,0,1035,2
7,16,3500,0,3500,500,831,3
8,90,4000,0,4200,0,1843,0
8,91,4000,0,4000,-200,1410,1
8,7,4000,0,3500,0,619,2
8,17,4000,0,4000,500,1945,3
9,10,0,500,500,500,1184,0
9,0,0,500,0,0,1299,1
9,92,0,500,-200,500,1459,2
9,18,0,500,0,1000,1562,3
10,11,500,500,1000,500,2100,0
10,1,500,500,500,0,898,1
10,9,500,500,0,500,1250,2
10,19,500,500,500,1000,905,3
11,12,1000,500,1500,500,1066,0
11,2,1000,500,1000,0,1234,1
11,10,1000,500,500,500,1467,2
11,20,1000,500,1000,1000,1269,3
12,13,1500,500,2000,500,913,0
12,3,1500,500,1500,0,2352,1
12,11,1500,500,1000,500,1272,2
12,21,1500,500,1500,1000,1765,3
13,14,2000,500,2500,500,1054,0
13,4,2000,500,2000,0,1075,1
13,12,2000,500,1500,500,1319,2
13,22,2000,500,2000,1000,1592,3
14,15,2500,500,3000,500,2588,0
14,5,2500,500,2500,0,1773,1
14,13,2500,500,2000,500,1736,2
14,23,2500,500,2500,1000,1518,3
15,16,3000,500,3500,500,1609,0
15,6,3000,500,3000,0,2354,1
15,14,3000,500,2500,500,1713,2
15,24,3000,500,3000,1000,1832,3
16,17,3500,500,4000,500,1065,0
16,7,3500,500,3500,0,1525,1
16,15,3500,500,3000,500,2721,2
16,25,3500,500,3500,1000,1259,3
17,93,4000,500,4200,500,335,0
17,8,4000,500,4000,0,1334,1
17,16,4000,500,3500,500,1957,2
17,26,4000,500,4000,1000,1579,3
18,19,0,1000,500,1000,1528,0
18,9,0,1000,0,500,1030,1
18,94,0,1000,-200,1000,1298,2
18,27,0,1000,0,1500,2266,3
19,20,500,1000,1000,1000,2291,0
19,10,500,1000,500,500,805,1
19,18,500,1000,0,1000,1536,2
19,28,500,1000,500,1500,1160,3
20,21,1000,1000,1500,1000,2782,0
20,11,1000,1000,1000,500,878,1
20,19,1000,1000,500,1000,1809,2
20,29,1000,1000,1000,1500,1164,3
21,22,1500,1000,2000,1000,2131,0
21,12,1500,1000,1500,500,2345,1
21,20,1500,1000,1000,1000,1986,2
21,30,1500,1000,1500,1500,1633,3
22,23,2000,1000,2500,1000,2441,0
22,13,2000,1000,2000,500,1192,1
22,21,2000,1000,1500,1000,1423,2
22,31,2000,1000,2000,1500,1183,3
23,24,2500,1000,3000,1000,485,0
23,14,2500,1000,2500,500,2824,1
23,22,2500,1000,2000,1000,1571,2
23,32,2500,1000,2500,1500,2029,3
24,25,3000,1000,3500,1000,1809,0
24,15,3000,1000,3000,500,795,1
24,23,3000,1000,2500,1000,1554,2
24,33,3000,1000,3000,1500,793,3
25,26,3500,1000,4000,1000,993,0
25,16,3500,1000,3500,500,2193,1
25,24,3500,1000,3000,1000,466,2
25,34,3500,1000,3500,1500,1719,3
26,95,4000,1000,4200,1000,1647,0
26,17,4000,1000,4000,500,714,1
26,25,4000,1000,3500,1000,1446,2
26,35,4000,1000,4000,1500,1065,3
27,28,0,1500,500,1500,2621,0
27,18,0,1500,0,1000,1509,1
27,96,0,1500,-200,1500,1922,2
27,36,0,1500,0,2000,1437,3
28,29,500,1500,1000,1500,677,0
28,19,500,1500,500,1000,1575,1
28,27,500,1500,0,1500,1683,2
28,37,500,1500,500,2000,2168,3
29,30,1000,1500,1500,1500,1993,0
29,20,1000,1500,1000,1000,1112,1
29,28,1000,1500,500,1500,971,2
29,38,1000,1500,1000,2000,734,3
30,31,1500,1500,2000,1500,2091,0
30,21,1500,1500,1500,1000,2148,1
30,29,1500,1500,1000,1500,1502,2
30,39,1500,1500,1500,2000,910,3
31,32,2000,1500,2500,1500,1471,0
31,22,2000,1500,2000,1000,961,1
31,30,2000,1500,1500,1500,2221,2
31,40,2000,1500,2000,2000,1815,3
32,33,2500,1500,3000,1500,2470,0
32,23,2500,1500,2500,1000,1426,1
32,31,2500,1500,2000,1500,1322,2
32,41,2500,1500,2500,2000,2357,3
33,34,3000,1500,3500,1500,1676,0
33,24,3000,1500,3000,1000,2188,1
33,32,3000,1500,2500,1500,2468,2
33,42,3000,1500,3000,2000,964,3
34,35,3500,1500,4000,1500,1048,0
34,25,3500,1500,3500,1000,876,1
34,33,3500,1500,3000,1500,2605,2
34,43,3500,1500,3500,2000,1843,3
35,97,4000,1500,4200,1500,1116,0
35,26,4000,1500,4000,1000,835,1
35,34,4000,1500,3500,1500,1982,2
35,44,4000,1500,4000,2000,797,3
36,37,0,2000,500,2000,1175,0
36,27,0,2000,0,1500,2102,1
36,98,0,2000,-200,2000,1363,2
36,45,0,2000,0,2500,1410,3
37,38,500,2000,1000,2000,1948,0
37,28,500,2000,500,1500,1375,1
37,36,500,2000,0,2000,1683,2
37,46,500,2000,500,2500,2022,3
38,39,1000,2000,1500,2000,1096,0
38,29,1000,2000,1000,1500,1481,1
38,37,1000,2000,500,2000,1802,2
38,47,1000,2000,1000,2500,1310,3
39,40,1500,2000,2000,2000,1234,0
39,30,1500,2000,1500,1500,826,1
39,38,1500,2000,1000,2000,1493,2
39,48,1500,2000,1500,2500,1403,3
40,41,2000,2000,2500,2000,990,0
40,31,2000,2000,2000,1500,1885,1
40,39,2000,2000,1500,2000,1913,2
40,49,2000,2000,2000,2500,2689,3
41,42,2500,2000,3000,2000,1867,0
41,32,2500,2000,2500,1500,1636,1
41,40,2500,2000,2000,2000,2141,2
41,50,2500,2000,2500,2500,859,3
42,43,3000,2000,3500,2000,1286,0
42,33,3000,2000,3000,1500,1454,1
42,41,3000,2000,2500,2000,1510,2
42,51,3000,2000,3000,2500,940,3
43,44,3500,2000,4000,2000,1660,0
43,34,3500,2000,3500,1500,1021,1
43,42,3500,2000,3000,2000,1094,2
43,52,3500,2000,3500,2500,1197,3
44,99,4000,2000,4200,2000,766,0
44,35,4000,2000,4000,1500,1111,1
44,43,4000,2000,3500,2000,1036,2
44,53,4000,2000,4000,2500,1772,3
45,46,0,2500,500,2500,2027,0
45,36,0,2500,0,2000,1424,1
45,100,0,2500,-200,2500,1528,2
45,54,0,2500,0,3000,1021,3
46,47,500,2500,1000,2500,1168,0
46,37,500,2500,500,2000,1896,1
46,45,500,2500,0,2500,1888,2
46,55,500,2500,500,3000,3893,3
47,48,1000,2500,1500,2500,1499,0
47,38,1000,2500,1000,2000,1524,1
47,46,1000,2500,500,2500,2426,2
47,56,1000,2500,1000,3000,822,3
48,49,1500,2500,2000,2500,1445,0
48,39,1500,2500,1500,2000,1055,1
48,47,1500,2500,1000,2500,2496,2
48,57,1500,2500,1500,3000,460,3
49,50,2000,2500,2500,2500,1253,0
49,40,2000,2500,2000,2000,2317,1
49,48,2000,2500,1500,2500,1682,2
49,58,2000,2500,2000,3000,1348,3
50,51,2500,2500,3000,2500,304,0
50,41,2500,2500,2500,2000,1669,1
50,49,2500,2500,2000,2500,1028,2
50,59,2500,2500,2500,3000,1595,3
51,52,3000,2500,3500,2500,1242,0
51,42,3000,2500,3000,2000,1276,1
51,50,3000,2500,2500,2500,696,2
51,60,3000,2500,3000,3000,417,3
52,53,3500,2500,4000,2500,1411,0
52,43,3500,2500,3500,2000,828,1
52,51,3500,2500,3000,2500,1622,2
52,61,3500,2500,3500,3000,1451,3
53,101,4000,2500,4200,2500,2633,0
53,44,4000,2500,4000,2000,779,1
53,52,4000,2500,3500,2500,1129,2
53,62,4000,2500,4000,3000,1251,3
54,55,0,3000,500,3000,1185,0
54,45,0,3000,0,2500,1254,1
54,102,0,3000,-200,3000,686,2
54,63,0,3000,0,3500,2532,3
55,56,500,3000,1000,3000,2225,0
55,46,500,3000,500,2500,2397,1
55,54,500,3000,0,3000,2064,2
55,64,500,3000,500,3500,730,3
56,57,1000,3000,1500,3000,1718,0
56,47,1000,3000,1000,2500,1316,1
56,55,1000,3000,500,3000,313,2
56,65,1000,3000,1000,3500,1540,3
57,58,1500,3000,2000,3000,963,0
57,48,1500,3000,1500,2500,899,1
57,56,1500,3000,1000,3000,669,2
57,66,1500,3000,1500,3500,829,3
58,59,2000,3000,2500,3000,1929,0
58,49,2000,3000,2000,2500,1464,1
58,57,2000,3000,1500,3000,748,2
58,67,2000,3000,2000,3500,921,3
59,60,2500,3000,3000,3000,1452,0
59,50,2500,3000,2500,2500,1812,1
59,58,2500,3000,2000,3000,1663,2
59,68,2500,3000,2500,3500,2422,3
60,61,3000,3000,3500,3000,592,0
60,51,3000,3000,3000,2500,777,1
60,59,3000,3000,2500,3000,2372,2
60,69,3000,3000,3000,3500,1451,3
61,62,3500,3000,4000,3000,361,0
61,52,3500,3000,3500,2500,1767,1
61,60,3500,3000,3000,3000,2079,2
61,70,3500,3000,3500,3500,1466,3
62,103,4000,3000,4200,3000,962,0
62,53,4000,3000,4000,2500,1149,1
62,61,4000,3000,3500,3000,2179,2
62,71,4000,3000,4000,3500,1134,3
63,64,0,3500,500,3500,987,0
63,54,0,3500,0,3000,1141,1
63,104,0,3500,-200,3500,2490,2
63,72,0,3500,0,4000,2104,3
64,65,500,3500,1000,3500,1053,0
64,55,500,3500,500,3000,2055,1
64,63,500,3500,0,3500,1524,2
64,73,500,3500,500,4000,531,3
65,66,1000,3500,1500,3500,1087,0
65,56,1000,3500,1000,3000,1192,1
65,64,1000,3500,500,3500,2197,2
65,74,1000,3500,1000,4000,1081,3
66,67,1500,3500,2000,3500,1861,0
66,57,1500,3500,1500,3000,445,1
66,65,1500,3500,1000,3500,1888,2
66,75,1500,3500,1500,4000,1988,3
67,68,2000,3500,2500,3500,1368,0
67,58,2000,3500,2000,3000,1102,1
67,66,2000,3500,1500,3500,1916,2
67,76,2000,3500,2000,4000,1229,3
68,69,2500,3500,3000,3500,2177,0
68,59,2500,3500,2500,3000,1480,1
68,67,2500,3500,2000,3500,2252,2
68,77,2500,3500,2500,4000,760,3
69,70,3000,3500,3500,3500,1717,0
69,60,3000,3500,3000,3000,1263,1
69,68,3000,3500,2500,3500,1551,2
69,78,3000,3500,3000,4000,1537,3
70,71,3500,3500,4000,3500,3146,0
70,61,3500,3500,3500,3000,1467,1
70,69,3500,3500,3000,3500,1191,2
70,79,3500,3500,3500,4000,1326,3
71,105,4000,3500,4200,3500,2265,0
71,62,4000,3500,4000,3000,2350,1
71,70,4000,3500,3500,3500,1866,2
71,80,4000,3500,4000,4000,997,3
72,73,0,4000,500,4000,1955,0
72,63,0,4000,0,3500,1202,1
72,106,0,4000,-200,4000,2062,2
72,107,0,4000,0,4200,956,3
73,74,500,4000,1000,4000,1006,0
73,64,500,4000,500,3500,1267,1
73,72,500,4000,0,4000,1047,2
73,108,500,4000,500,4200,1843,3
74,75,1000,4000,1500,4000,1405,0
74,65,1000,4000,1000,3500,1101,1
74,73,1000,4000,500,4000,1211,2
74,109,1000,4000,1000,4200,1153,3
75,76,1500,4000,2000,4000,1395,0
75,66,1500,4000,1500,3500,2370,1
75,74,1500,4000,1000,4000,1321,2
75,110,1500,4000,1500,4200,1335,3
76,77,2000,4000,2500,4000,1284,0
76,67,2000,4000,2000,3500,602,1
76,75,2000,4000,1500,4000,1533,2
76,111,2000,4000,2000,4200,1574,3
77,78,2500,4000,3000,4000,1161,0
77,68,2500,4000,2500,3500,1358,1
77,76,2500,4000,2000,4000,898,2
77,112,2500,4000,2500,4200,676,3
78,79,3000,4000,3500,4000,2284,0
78,69,3000,4000,3000,3500,1272,1
78,77,3000,4000,2500,4000,530,2
78,113,3000,4000,3000,4200,1425,3
79,80,3500,4000,4000,4000,1424,0
79,70,3500,4000,3500,3500,2115,1
79,78,3500,4000,3000,4000,1375,2
79,114,3500,4000,3500,4200,1565,3
80,115,4000,4000,4200,4000,1032,0
80,71,4000,4000,4000,3500,1758,1
80,79,4000,4000,3500,4000,1403,2
80,116,4000,4000,4000,4200,1239,3
81,0,0,-200,0,0,1475,3
82,0,-200,0,0,0,1507,0
83,1,500,-200,500,0,1542,3
84,2,1000,-200,1000,0,1471,3
85,3,1500,-200,1500,0,1483,3
86,4,2000,-200,2000,0,1471,3
87,5,2500,-200,2500,0,1474,3
88,6,3000,-200,3000,0,1495,3
89,7,3500,-200,3500,0,1476,3
90,8,4200,0,4000,0,1503,2
91,8,4000,-200,4000,0,1495,3
92,9,-200,500,0,500,1529,0
93,17,4200,500,4000,500,1492,2
94,18,-200,1000,0,1000,1528,0
95,26,4200,1000,4000,1000,1476,2
96,27,-200,1500,0,1500,1460,0
97,35,4200,1500,4000,1500,1525,2
98,36,-200,2000,0,2000,1529,0
99,44,4200,2000,4000,2000,1459,2
100,45,-200,2500,0,2500,1458,0
101,53,4200,2500,4000,2500,1469,2
102,54,-200,3000,0,3000,1445,0
103,62,4200,3000,4000,3000,1477,2
104,63,-200,3500,0,3500,1475,0
105,71,4200,3500,4000,3500,1461,2
106,72,-200,4000,0,4000,1484,0
107,72,0,4200,0,4000,1553,1
108,73,500,4200,500,4000,1488,1
109,74,1000,4200,1000,4000,1477,1
110,75,1500,4200,1500,4000,1508,1
111,76,2000,4200,2000,4000,1490,1
112,77,2500,4200,2500,4000,1529,1
113,78,3000,4200,3000,4000,1462,1
114,79,3500,4200,3500,4000,1479,1
115,80,4200,4000,4000,4000,1479,2
116,80,4000,4200,4000,4000,1551,1
